call_id,filename,animal_id,noise_type_ref,classifier_primary_noise,call_type,label_status,mixed_reference_label,classifier_matches_reference,suggested_noise_type,metadata_update_required,review_note
2000-4_airplane_02,2000-4_airplane_02.wav,2000-4,airplane,generator,trumpet,review_classifier_mismatch,false,false,airplane,false,Classifier disagrees with filename-derived reference
2002-2_airplane_01,2002-2_airplane_01.wav,2002-2,airplane,generator,unknown,review_classifier_mismatch,false,false,airplane,false,Classifier disagrees with filename-derived reference
2003-7_airplane_01,2003-7_airplane_01.wav,2003-7,airplane,airplane,rumble,trusted,false,true,airplane,false,Classifier agrees with reference
99-22A_airplane_01,99-22A_airplane_01.wav,99-22A,airplane,airplane,trumpet,trusted,false,true,airplane,false,Classifier agrees with reference
99-24_airplane_01,99-24_airplane_01.wav,99-24,airplane,airplane,trumpet,trusted,false,true,airplane,false,Classifier agrees with reference
99-37_airplane_02,99-37_airplane_02.wav,99-37,airplane,airplane,rumble,trusted,false,true,airplane,false,Classifier agrees with reference
99-37_airplane_and_vehicle_01,99-37_airplane_and_vehicle_01.wav,99-37,airplane+vehicle,generator,unknown,review_mixed,true,false,airplane+vehicle,false,Mixed reference label; classifier captured one component or disagreed
99-37_vehicle_01,99-37_vehicle_01.wav,99-37,vehicle,airplane,rumble,review_classifier_mismatch,false,false,vehicle,false,Classifier disagrees with filename-derived reference
99-45_airplane_01,99-45_airplane_01.wav,99-45,airplane,airplane,unknown,trusted,false,true,airplane,false,Classifier agrees with reference
99-45_airplane_03,99-45_airplane_03.wav,99-45,airplane,airplane,unknown,trusted,false,true,airplane,false,Classifier agrees with reference
99-45_vehicle_01,99-45_vehicle_01.wav,99-45,vehicle,airplane,unknown,review_classifier_mismatch,false,false,vehicle,false,Classifier disagrees with filename-derived reference
99-45_vehicle_02,99-45_vehicle_02.wav,99-45,vehicle,airplane,rumble,review_classifier_mismatch,false,false,vehicle,false,Classifier disagrees with filename-derived reference
J86-1_airplane_01,J86-1_airplane_01.wav,J86-1,airplane,airplane,trumpet,trusted,false,true,airplane,false,Classifier agrees with reference
J87-27_airplane_01,J87-27_airplane_01.wav,J87-27,airplane,airplane,unknown,trusted,false,true,airplane,false,Classifier agrees with reference
