file,animal_id,species,noise_type_ref,status,elapsed_s,noise_types,snr_before_db,snr_after_db,snr_improvement_db,n_calls,call_types,json_path
2000-23_background_noise_1.wav,2000-23,African bush elephant,background,ok,4.37,"airplane, car, generator",7.34,8.29,0.95,21,rumble,/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/2000-23_background_noise_1.json
2000-23_background_vehicle_noise.wav,2000-23,African bush elephant,vehicle,ok,4.45,"airplane, car, generator",6.74,7.91,1.17,26,rumble,/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/2000-23_background_vehicle_noise.json
2000-23_vehicle_noise_1.wav,2000-23,African bush elephant,vehicle,ok,44.14,"airplane, car, generator",11.81,13.19,1.38,109,"rumble, bark, unknown",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/2000-23_vehicle_noise_1.json
2000-23_vehicle_noise_2.wav,2000-23,African bush elephant,vehicle,ok,2.08,"airplane, car, wind, generator",11.12,19.84,8.72,6,"rumble, unknown",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/2000-23_vehicle_noise_2.json
2000-23_vehicle_noise_3.wav,2000-23,African bush elephant,vehicle,ok,3.42,"airplane, car, generator",15.05,17.4,2.35,3,rumble,/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/2000-23_vehicle_noise_3.json
2000-23_vehicle_noise_4.wav,2000-23,African bush elephant,vehicle,ok,6.91,"airplane, car, generator",14.9,17.32,2.42,16,"rumble, bark",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/2000-23_vehicle_noise_4.json
2000-24_generator_noise_1.wav,2000-24,African bush elephant,generator,ok,9.82,"airplane, car, generator",5.91,7.88,1.97,75,"rumble, bark, unknown",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/2000-24_generator_noise_1.json
2000-24_generator_noise_2.wav,2000-24,African bush elephant,generator,ok,77.8,"airplane, car, generator",8.69,11.47,2.78,239,"rumble, bark, unknown",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/2000-24_generator_noise_2.json
2000-24_generator_noise_3.wav,2000-24,African bush elephant,generator,ok,4.76,"airplane, car, generator",14.0,14.0,0.0,8,"rumble, bark, unknown, cry",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/2000-24_generator_noise_3.json
2000-24_generator_noise_4.wav,2000-24,African bush elephant,generator,ok,40.04,"airplane, car, generator",10.08,11.39,1.31,68,"rumble, bark, unknown",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/2000-24_generator_noise_4.json
2000-24_vehicle_and_generator_noise_1.wav,2000-24,African bush elephant,vehicle+generator,ok,9.92,"airplane, car, generator",7.02,8.32,1.3,38,"rumble, bark, unknown",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/2000-24_vehicle_and_generator_noise_1.json
2000-24_vehicle_noise_1.wav,2000-24,African bush elephant,vehicle,ok,58.68,"airplane, car, generator",8.11,9.0,0.89,284,"rumble, bark, unknown",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/2000-24_vehicle_noise_1.json
2000-24_vehicle_noise_2.wav,2000-24,African bush elephant,vehicle,ok,4.98,"airplane, car, generator",6.62,9.11,2.49,29,"rumble, bark, unknown",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/2000-24_vehicle_noise_2.json
2000-27_airplane_01.wav,2000-27,African bush elephant,airplane,ok,70.39,"airplane, car, generator",10.48,12.28,1.8,125,"rumble, bark, unknown, cry",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/2000-27_airplane_01.json
2000-3_airplane_01.wav,2000-3,African bush elephant,airplane,ok,29.89,"airplane, car, generator, wind",8.41,10.21,1.8,86,"rumble, bark, unknown, cry",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/2000-3_airplane_01.json
2000-3_airplane_02.wav,2000-3,African bush elephant,airplane,ok,6.87,"airplane, car, generator, other, wind",6.82,9.94,3.12,33,"rumble, bark, unknown",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/2000-3_airplane_02.json
2000-3_airplane_03.wav,2000-3,African bush elephant,airplane,ok,47.74,"airplane, car, generator, wind",6.2,8.14,1.94,169,"rumble, bark, unknown",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/2000-3_airplane_03.json
2000-3_vehicle_01.wav,2000-3,African bush elephant,vehicle,ok,25.38,"airplane, car, generator, wind",7.06,7.57,0.51,149,"rumble, bark, trumpet, unknown, cry",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/2000-3_vehicle_01.json
2000-4 _airplane_01.wav,2000-4,African bush elephant,airplane,ok,7.78,"airplane, car, generator, wind",9.55,9.61,0.06,23,"rumble, bark, unknown, cry",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/2000-4__airplane_01.json
2000-4_airplane_02.wav,2000-4,African bush elephant,airplane,ok,23.96,"generator, airplane, car",12.29,13.83,1.54,46,"rumble, bark, unknown",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/2000-4_airplane_02.json
2002-2_airplane_01.wav,2002-2,African bush elephant,airplane,ok,37.12,"airplane, car, generator, wind",13.91,14.66,0.75,98,"rumble, bark, unknown, cry",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/2002-2_airplane_01.json
2003-7_airplane_01.wav,2003-7,African bush elephant,airplane,ok,10.43,"airplane, car, generator, wind",13.04,20.26,7.22,21,"rumble, bark, unknown, cry",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/2003-7_airplane_01.json
99-22A_airplane_01.wav,99-22A,African bush elephant,airplane,ok,66.48,"airplane, car, generator, wind",13.03,16.58,3.55,160,"rumble, bark, unknown, cry",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/99-22A_airplane_01.json
99-24_airplane_01.wav,99-24,African bush elephant,airplane,ok,7.09,"airplane, car, generator, wind",8.34,13.14,4.8,30,"rumble, bark, unknown, cry",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/99-24_airplane_01.json
99-37_airplane_02.wav,99-37,African bush elephant,airplane,ok,4.34,"airplane, car, generator",16.75,12.87,-3.88,17,"rumble, bark, unknown",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/99-37_airplane_02.json
99-37_airplane_and_vehicle_01.wav,99-37,African bush elephant,airplane+vehicle,ok,43.81,"generator, airplane, car, wind",18.55,20.42,1.87,102,"rumble, bark, unknown",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/99-37_airplane_and_vehicle_01.json
99-37_vehicle_01.wav,99-37,African bush elephant,vehicle,ok,4.88,"airplane, car, generator, wind, other",5.44,9.73,4.29,28,"rumble, bark, unknown",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/99-37_vehicle_01.json
99-45_airplane_01.wav,99-45,African bush elephant,airplane,ok,42.6,"airplane, car, generator, wind",7.26,10.66,3.4,148,"rumble, bark, unknown",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/99-45_airplane_01.json
99-45_airplane_03.wav,99-45,African bush elephant,airplane,ok,53.21,"airplane, car, generator, wind",7.67,11.89,4.22,159,"rumble, bark, unknown",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/99-45_airplane_03.json
99-45_vehicle_01.wav,99-45,African bush elephant,vehicle,ok,87.89,"airplane, car, generator",12.78,15.13,2.35,268,"rumble, bark, unknown, cry",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/99-45_vehicle_01.json
99-45_vehicle_02.wav,99-45,African bush elephant,vehicle,ok,24.79,"airplane, car, generator, wind",17.48,22.17,4.69,58,"rumble, bark, unknown",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/99-45_vehicle_02.json
J86-1_airplane_01.wav,J86-1,African bush elephant,airplane,ok,48.68,"airplane, car, generator, wind, other",9.3,17.01,7.71,170,"rumble, bark, unknown",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/J86-1_airplane_01.json
J87-27_airplane_01.wav,J87-27,African bush elephant,airplane,ok,9.36,"airplane, generator, car, wind",5.58,7.37,1.79,18,"rumble, bark, unknown",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/J87-27_airplane_01.json
